Model,Skewness,Kurtosis
model_AR_h1,0.9012386798622942,13.245979227698019
model_AR_h2,1.5369789955405657,18.211035991597967
model_ADL_bridge_m1,-0.9488420268635143,14.830697302341807
model_ADL_bridge_m2,-6.173455840614665,38.03703436946383
model_ADL_bridge_m3,-3.3381870410486494,19.19141703358526
model_ADL_bridge_m4,1.063087460018902,16.456222551690665
model_ADL_bridge_m5,-6.688328831474869,42.83822039989021
model_ADL_bridge_m6,-0.8638735510065516,17.835391023782595
model_RF_h1,-0.8533843871442284,14.004408159444395
model_RF_h2,1.1362796604932004,12.666302786155985
model_RF_bridge_m1,1.1731684836180132,16.961732974113428
model_RF_bridge_m2,1.2119955464758605,17.02754909871654
model_RF_bridge_m3,0.9024440568152099,16.502402811925112
model_RF_bridge_m4,1.1022181178461496,16.128558009486124
model_RF_bridge_m5,-0.1201889169653373,17.434734256895037
model_RF_bridge_m6,0.44021624378378904,16.407615634183017
combined_bridge_forecast_m1,0.031023466147241135,15.84581149588007
combined_bridge_forecast_m2,-4.812205975933837,24.01371578108362
combined_bridge_forecast_m3,-1.3952200309268148,15.768081187188322
combined_bridge_forecast_m4,1.139596658477262,16.95469131132017
combined_bridge_forecast_m5,-6.630129457203354,42.35835761474448
combined_bridge_forecast_m6,-0.2531163707467009,17.088610302662453
